	Node	PI/Not a PI	Organisation	Internal Staff vs. External Staff	Faculty
878	14831587	0	DKC	2	0
879	40268184	0	DLQ	2	0
880	30679604	0	DML	2	0
881	29306935	0	DRS	2	0
882	50313833	0	DUK	2	0
883	62745710	0	DVH	2	0
884	70401342	0	DVH	2	0
885	36394325	0	DXK	2	0
886	45598964	0	DXK	2	0
887	43329084	0	EAA	2	0
888	34467749	0	EAD	2	0
889	88555881	0	EBI	2	0
890	68302023	0	EBI	2	0
891	53407340	0	EBI	2	0
892	56093698	0	EBI	2	0
893	43970609	0	EBI	2	0
894	61331246	0	EBI	2	0
895	45447773	0	EBI	2	0
896	44063604	0	EBI	2	0
897	49202969	0	EBI	2	0
898	64542335	0	EBI	2	0
899	49346206	0	EBI	2	0
900	86123341	0	EBI	2	0
901	89092825	0	EBI	2	0
902	39139744	0	EBI	2	0
903	21626519	0	EBI	2	0
904	82780670	0	ECP	2	0
905	30606677	0	ECQ	2	0
906	79773421	0	EED	2	0
907	60287189	0	EFF	2	0
908	97344025	0	EGQ	2	0
909	32319316	0	EGQ	2	0
910	16743992	0	EGQ	2	0
911	68397253	0	ENA	2	0
912	68191621	0	EPV	2	0
913	72389710	0	ETU	2	0
914	84388589	0	EUL	2	0
915	25404331	0	EUL	2	0
916	75075505	0	EWR	2	0
917	45481612	0	EWR	2	0
918	23494717	0	EWR	2	0
919	73397872	0	EWR	2	0
920	80061868	0	EWR	2	0
921	43075777	0	EWR	2	0
922	40731706	0	EWR	2	0
923	67026398	0	EWR	2	0
924	94381312	0	EWR	2	0
925	18960602	0	EXN	2	0
926	21716000	0	EXR	2	0
927	82246014	0	FGQ	2	0
928	14472681	0	FJZ	2	0
929	49413998	0	FKO	2	0
930	32057903	0	FSP	2	0
931	41671633	0	FTQ	2	0
932	84024042	0	FTQ	2	0
933	34691065	0	FTQ	2	0
934	32911789	0	FWQ	2	0
935	82081998	0	FWQ	2	0
936	59618740	0	FWQ	2	0
937	52792966	0	FXN	2	0
938	80262795	0	GBI	2	0
939	79618856	0	GBI	2	0
940	64194816	0	GBI	2	0
941	74270554	0	GBI	2	0
942	16840476	0	GER	2	0
943	17630156	0	GFE	2	0
944	90967214	0	GGI	2	0
945	51970824	0	GHU	2	0
946	80521407	0	GHW	2	0
947	45446348	0	GIW	2	0
948	98308116	0	GKA	2	0
949	55221399	0	GKD	2	0
950	25452100	0	GLB	2	0
951	69933643	0	GLB	2	0
952	96449978	0	GLQ	2	0
953	42618960	0	GOH	2	0
954	86982045	0	GUP	2	0
955	60226676	0	GVT	2	0
956	48038808	0	GVT	2	0
957	20694549	0	GZL	2	0
958	91733067	0	HFB	2	0
959	93049357	0	HFW	2	0
960	64014948	0	HGV	2	0
961	39584065	0	HJD	2	0
962	91798275	0	HKD	2	0
963	35663986	0	HLB	2	0
964	50066854	0	HNR	2	0
965	46110861	0	HNS	2	0
966	64203118	0	HRH	2	0
967	25097205	0	HRH	2	0
968	51235406	0	HST	2	0
969	14285272	0	HST	2	0
970	19435655	0	HST	2	0
971	40738334	0	HTH	2	0
972	79254265	0	HTH	2	0
973	48109787	0	HTH	2	0
974	95526668	0	HUV	2	0
975	16382609	0	HWU	2	0
976	60508600	0	HYZ	2	0
977	51126760	0	HZI	2	0
978	62913927	0	HZI	2	0
979	64821231	0	IBV	2	0
980	18191634	0	IBV	2	0
981	99874208	0	IBV	2	0
982	62050488	0	IBV	2	0
983	32566224	0	IBV	2	0
984	18117394	0	IBV	2	0
985	88803536	0	IBV	2	0
986	75169810	0	IBV	2	0
987	32444726	0	IBV	2	0
988	83377643	0	IBV	2	0
989	44717622	0	IBV	2	0
990	15232236	0	IBV	2	0
991	73620183	0	IBV	2	0
992	92179005	0	IBV	2	0
993	50208258	0	IBV	2	0
994	89644406	0	IBV	2	0
995	64981985	0	IBV	2	0
996	30550275	0	IBV	2	0
997	16051354	0	IEF	2	0
